time,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,pattern,label,source_node
0,0.95,0.0,0.57,0.0,0.34199999999999997,0.2052,0.12312,0.073872,0.04432319999999999,0.0,0.12312,0.026593919999999997,0.0,0.089828352,0.0,0.0,0.0538970112,0.0,0.0,0.03233820672,0.019402924032,0.011641754419199998,0.0,0.0,0.00698505265152,0.0,0.0,0.048514231590912,0.045064890954547195,0.026593919999999997,0.2481952865727283,0.00698505265152,0.153108203534549,0.1499529649116414,0.08997177894698483,0.0,0.4283212740881909,0.26863451887211454,0.2530456334439981,0.15182738006639887,0.25227713936310797,0.0,0.1513662836178648,0.20534935098605567,0.24106831533508058,0.0,0.12320961059163339,0.4325961363183806,0.0,0.3334834481460084,decreasing,1,0
1,0.9104166666666667,0.0,0.5462499999999999,0.0,0.32775,0.19665,0.11798999999999998,0.07079399999999998,0.04247639999999999,0.0,0.11798999999999998,0.025485839999999996,0.0,0.08608550399999998,0.0,0.0,0.051651302399999995,0.0,0.0,0.030990781439999997,0.018594468863999996,0.011156681318399997,0.0,0.0,0.006694008791039998,0.0,0.0,0.046492805274623995,0.0431871871647744,0.025485839999999996,0.23785381629886462,0.006694008791039998,0.14672869505394276,0.14370492470698965,0.08622295482419379,0.0,0.4104745543345162,0.2574414139191097,0.24250206538383148,0.14550123923029887,0.24176559188964514,0.0,0.14505935513378707,0.19679312802830334,0.2310238021961189,0.0,0.11807587681698199,0.4145712973051147,0.0,0.31958830447325803,decreasing,1,0
2,0.8708333333333332,0.0,0.5225,0.0,0.31349999999999995,0.18809999999999996,0.11285999999999999,0.067716,0.040629599999999995,0.0,0.11285999999999999,0.024377759999999995,0.0,0.08234265599999999,0.0,0.0,0.04940559359999999,0.0,0.0,0.029643356159999995,0.017786013695999997,0.010671608217599998,0.0,0.0,0.0064029649305599986,0.0,0.0,0.04447137895833599,0.04130948337500159,0.024377759999999995,0.22751234602500092,0.0064029649305599986,0.14034918657333656,0.1374568845023379,0.08247413070140275,0.0,0.39262783458084155,0.24624830896610495,0.2319584973236649,0.13917509839419892,0.2312540444161823,0.0,0.13875242664970938,0.18823690507055102,0.22097928905715722,0.0,0.11294214304233062,0.3965464582918489,0.0,0.3056931608005077,decreasing,1,0
3,0.8312499999999999,0.0,0.49874999999999997,0.0,0.29924999999999996,0.17955,0.10772999999999999,0.064638,0.0387828,0.0,0.10772999999999999,0.023269679999999997,0.0,0.078599808,0.0,0.0,0.047159884799999996,0.0,0.0,0.028295930879999997,0.016977558527999998,0.010186535116799999,0.0,0.0,0.006111921070079999,0.0,0.0,0.042449952642048,0.039431779585228796,0.023269679999999997,0.21717087575113728,0.006111921070079999,0.13396967809273036,0.1312088442976862,0.07872530657861171,0.0,0.37478111482716703,0.2350552040131002,0.22141492926349834,0.132848957558099,0.22074249694271955,0.0,0.13244549816563173,0.17968068211279875,0.21093477591819554,0.0,0.10780840926767925,0.37852161927858313,0.0,0.29179801712775744,decreasing,1,0
4,0.7916666666666666,0.0,0.475,0.0,0.285,0.17099999999999999,0.1026,0.06156,0.036936,0.0,0.1026,0.022161599999999997,0.0,0.07485696,0.0,0.0,0.044914176,0.0,0.0,0.0269485056,0.01616910336,0.009701462016,0.0,0.0,0.005820877209599999,0.0,0.0,0.040428526325759995,0.03755407579545599,0.022161599999999997,0.20682940547727358,0.005820877209599999,0.12759016961212413,0.12496080409303449,0.0749764824558207,0.0,0.3569343950734924,0.2238620990600954,0.21087136120333172,0.12652281672199903,0.21023094946925666,0.0,0.12613856968155399,0.1711244591550464,0.20089026277923386,0.0,0.10267467549302783,0.3604967802653173,0.0,0.2779028734550071,decreasing,1,0
5,0.7520833333333332,0.0,0.45125,0.0,0.27075,0.16244999999999998,0.09746999999999997,0.058481999999999985,0.03508919999999999,0.0,0.09746999999999997,0.021053519999999992,0.0,0.07111411199999998,0.0,0.0,0.04266846719999999,0.0,0.0,0.025601080319999994,0.015360648191999995,0.009216388915199996,0.0,0.0,0.005529833349119998,0.0,0.0,0.038407100009471985,0.03567637200568318,0.021053519999999992,0.19648793520340987,0.005529833349119998,0.12121066113151792,0.11871276388838276,0.07122765833302964,0.0,0.33908767531981776,0.21266899410709064,0.20032779314316515,0.12019667588589909,0.19971940199579385,0.0,0.1198316411974763,0.1625682361972941,0.19084574964027212,0.0,0.09754094171837645,0.3424719412520513,0.0,0.2640077297822567,decreasing,1,0
6,0.7124999999999999,0.0,0.42749999999999994,0.0,0.25649999999999995,0.15389999999999998,0.09233999999999998,0.05540399999999998,0.033242399999999984,0.0,0.09233999999999998,0.01994543999999999,0.0,0.06737126399999997,0.0,0.0,0.04042275839999998,0.0,0.0,0.024253655039999985,0.014552193023999993,0.008731315814399995,0.0,0.0,0.005238789488639996,0.0,0.0,0.03638567369318399,0.03379866821591039,0.01994543999999999,0.1861464649295462,0.005238789488639996,0.11483115265091172,0.112464723683731,0.0674788342102386,0.0,0.3212409555661431,0.20147588915408585,0.18978422508299853,0.11387053504979912,0.18920785452233096,0.0,0.11352471271339858,0.15401201323954172,0.1808012365013104,0.0,0.09240720794372503,0.3244471022387854,0.0,0.25011258610950626,decreasing,1,0
7,0.6729166666666666,0.0,0.40374999999999994,0.0,0.24224999999999994,0.14534999999999995,0.08720999999999998,0.052325999999999984,0.03139559999999999,0.0,0.08720999999999998,0.01883735999999999,0.0,0.06362841599999997,0.0,0.0,0.03817704959999998,0.0,0.0,0.022906229759999987,0.01374373785599999,0.008246242713599994,0.0,0.0,0.004947745628159996,0.0,0.0,0.03436424737689599,0.03192096442613759,0.01883735999999999,0.1758049946556825,0.004947745628159996,0.10845164417030549,0.10621668347907927,0.06373001008744755,0.0,0.30339423581246844,0.19028278420108108,0.17924065702283196,0.10754439421369917,0.17869630704886816,0.0,0.10721778422932088,0.14545579028178943,0.17075672336234873,0.0,0.08727347416907365,0.3064222632255196,0.0,0.23621744243675594,decreasing,1,0
8,0.6333333333333334,0.0,0.38,0.0,0.22799999999999998,0.13679999999999998,0.08207999999999999,0.049247999999999986,0.029548799999999993,0.0,0.08207999999999999,0.017729279999999997,0.0,0.059885567999999986,0.0,0.0,0.03593134079999999,0.0,0.0,0.021558804479999995,0.012935282687999997,0.007761169612799998,0.0,0.0,0.004656701767679999,0.0,0.0,0.03234282106060799,0.030043260636364796,0.017729279999999997,0.16546352438181886,0.004656701767679999,0.10207213568969932,0.09996864327442759,0.05998118596465655,0.0,0.2855475160587939,0.1790896792480763,0.16869708896266536,0.10121825337759922,0.1681847595754053,0.0,0.10091085574524318,0.1368995673240371,0.16071221022338705,0.0,0.08213974039442228,0.2883974242122538,0.0,0.22232229876400564,decreasing,1,0
9,0.59375,0.0,0.35624999999999996,0.0,0.21374999999999997,0.12824999999999998,0.07694999999999999,0.04616999999999999,0.02770199999999999,0.0,0.07694999999999999,0.016621199999999992,0.0,0.056142719999999986,0.0,0.0,0.03368563199999999,0.0,0.0,0.020211379199999997,0.012126827519999996,0.007276096511999997,0.0,0.0,0.0043656579071999985,0.0,0.0,0.030321394744319993,0.02816555684659199,0.016621199999999992,0.15512205410795515,0.0043656579071999985,0.09569262720909309,0.09372060306977585,0.0562323618418655,0.0,0.2677007963051193,0.16789657429507154,0.15815352090249876,0.09489211254149925,0.1576732121019425,0.0,0.09460392726116548,0.1283433443662848,0.15066769708442537,0.0,0.07700600661977088,0.2703725851989879,0.0,0.20842715509125523,decreasing,1,0
